Season,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Attend.,Arena
2010,"Sun, May 2, 2010",Milwaukee Bucks,74,Atlanta Hawks,95,19241,Philips Arena
2010,"Sun, May 2, 2010",Utah Jazz,99,Los Angeles Lakers,104,18997,STAPLES Center
2010,"Mon, May 3, 2010",Boston Celtics,104,Cleveland Cavaliers,86,20562,Quicken Loans Arena
2010,"Mon, May 3, 2010",San Antonio Spurs,102,Phoenix Suns,111,18422,US Airways Center
2010,"Tue, May 4, 2010",Atlanta Hawks,71,Orlando Magic,114,17461,Amway Arena
2010,"Tue, May 4, 2010",Utah Jazz,103,Los Angeles Lakers,111,18997,STAPLES Center
2010,"Wed, May 5, 2010",San Antonio Spurs,102,Phoenix Suns,110,18422,US Airways Center
2010,"Thu, May 6, 2010",Atlanta Hawks,98,Orlando Magic,112,17461,Amway Arena
2010,"Fri, May 7, 2010",Cleveland Cavaliers,124,Boston Celtics,95,18624,TD Garden
2010,"Fri, May 7, 2010",Phoenix Suns,110,San Antonio Spurs,96,18581,AT&T Center
2010,"Sat, May 8, 2010",Orlando Magic,105,Atlanta Hawks,75,18729,Philips Arena
2010,"Sat, May 8, 2010",Los Angeles Lakers,111,Utah Jazz,110,19911,EnergySolutions Arena
2010,"Sun, May 9, 2010",Cleveland Cavaliers,87,Boston Celtics,97,18624,TD Garden
2010,"Sun, May 9, 2010",Phoenix Suns,107,San Antonio Spurs,101,18581,AT&T Center
2010,"Mon, May 10, 2010",Orlando Magic,98,Atlanta Hawks,84,18729,Philips Arena
2010,"Mon, May 10, 2010",Los Angeles Lakers,111,Utah Jazz,96,19911,EnergySolutions Arena
2010,"Tue, May 11, 2010",Boston Celtics,120,Cleveland Cavaliers,88,20562,Quicken Loans Arena
2010,"Thu, May 13, 2010",Cleveland Cavaliers,85,Boston Celtics,94,18624,TD Garden
2010,"Sun, May 16, 2010",Boston Celtics,92,Orlando Magic,88,17461,Amway Arena
2010,"Mon, May 17, 2010",Phoenix Suns,107,Los Angeles Lakers,128,18997,STAPLES Center
2010,"Tue, May 18, 2010",Boston Celtics,95,Orlando Magic,92,17461,Amway Arena
2010,"Wed, May 19, 2010",Phoenix Suns,112,Los Angeles Lakers,124,18997,STAPLES Center
2010,"Sat, May 22, 2010",Orlando Magic,71,Boston Celtics,94,18624,TD Garden
2010,"Sun, May 23, 2010",Los Angeles Lakers,109,Phoenix Suns,118,18422,US Airways Center
2010,"Mon, May 24, 2010",Orlando Magic,96,Boston Celtics,92,18624,TD Garden
2010,"Tue, May 25, 2010",Los Angeles Lakers,106,Phoenix Suns,115,18422,US Airways Center
2010,"Wed, May 26, 2010",Boston Celtics,92,Orlando Magic,113,17461,Amway Arena
2010,"Thu, May 27, 2010",Phoenix Suns,101,Los Angeles Lakers,103,18997,STAPLES Center
2010,"Fri, May 28, 2010",Orlando Magic,84,Boston Celtics,96,18624,TD Garden
2010,"Sat, May 29, 2010",Los Angeles Lakers,111,Phoenix Suns,103,18422,US Airways Center
2010,"Thu, Jun 3, 2010",Boston Celtics,89,Los Angeles Lakers,102,18997,STAPLES Center
2010,"Sun, Jun 6, 2010",Boston Celtics,103,Los Angeles Lakers,94,18997,STAPLES Center
2010,"Tue, Jun 8, 2010",Los Angeles Lakers,91,Boston Celtics,84,18624,TD Garden
2010,"Thu, Jun 10, 2010",Los Angeles Lakers,89,Boston Celtics,96,18624,TD Garden
2010,"Sun, Jun 13, 2010",Los Angeles Lakers,86,Boston Celtics,92,18624,TD Garden
2010,"Tue, Jun 15, 2010",Boston Celtics,67,Los Angeles Lakers,89,18997,STAPLES Center
2010,"Thu, Jun 17, 2010",Boston Celtics,79,Los Angeles Lakers,83,18997,STAPLES Center
2011,"Tue, Oct 26, 2010",Miami Heat,80,Boston Celtics,88,18624,TD Garden
2011,"Tue, Oct 26, 2010",Phoenix Suns,92,Portland Trail Blazers,106,20603,Rose Garden Arena
2011,"Tue, Oct 26, 2010",Houston Rockets,110,Los Angeles Lakers,112,18997,STAPLES Center
2011,"Wed, Oct 27, 2010",Boston Celtics,87,Cleveland Cavaliers,95,20562,Quicken Loans Arena
2011,"Wed, Oct 27, 2010",New York Knicks,98,Toronto Raptors,93,18722,Air Canada Centre
2011,"Wed, Oct 27, 2010",Miami Heat,97,Philadelphia 76ers,87,20389,Wells Fargo Center
2011,"Wed, Oct 27, 2010",Detroit Pistons,98,New Jersey Nets,101,15178,Prudential Center
2011,"Wed, Oct 27, 2010",Chicago Bulls,95,Oklahoma City Thunder,106,18203,Chesapeake Energy Arena
2011,"Wed, Oct 27, 2010",Milwaukee Bucks,91,New Orleans Hornets,95,15039,New Orleans Arena
2011,"Wed, Oct 27, 2010",Sacramento Kings,117,Minnesota Timberwolves,116,17067,Target Center
2011,"Wed, Oct 27, 2010",Atlanta Hawks,119,Memphis Grizzlies,104,17519,FedEx Forum
2011,"Wed, Oct 27, 2010",Indiana Pacers,109,San Antonio Spurs,122,18581,AT&T Center
2011,"Wed, Oct 27, 2010",Charlotte Bobcats,86,Dallas Mavericks,101,19440,American Airlines Center
2011,"Wed, Oct 27, 2010",Utah Jazz,88,Denver Nuggets,110,19155,Pepsi Center
2011,"Wed, Oct 27, 2010",Portland Trail Blazers,98,Los Angeles Clippers,88,18382,STAPLES Center
2011,"Wed, Oct 27, 2010",Houston Rockets,128,Golden State Warriors,132,18428,Oracle Arena
2011,"Thu, Oct 28, 2010",Washington Wizards,83,Orlando Magic,112,18918,Amway Center
2011,"Thu, Oct 28, 2010",Phoenix Suns,110,Utah Jazz,94,19911,EnergySolutions Arena
2011,"Fri, Oct 29, 2010",Indiana Pacers,104,Charlotte Bobcats,101,18351,Time Warner Cable Arena
2011,"Fri, Oct 29, 2010",Cleveland Cavaliers,81,Toronto Raptors,101,15711,Air Canada Centre
2011,"Fri, Oct 29, 2010",Atlanta Hawks,104,Philadelphia 76ers,101,10960,Wells Fargo Center
2011,"Fri, Oct 29, 2010",Sacramento Kings,100,New Jersey Nets,106,13482,Prudential Center
2011,"Fri, Oct 29, 2010",New York Knicks,101,Boston Celtics,105,18624,TD Garden
2011,"Fri, Oct 29, 2010",Oklahoma City Thunder,105,Detroit Pistons,104,22076,The Palace of Auburn Hills
2011,"Fri, Oct 29, 2010",Denver Nuggets,95,New Orleans Hornets,101,12474,New Orleans Arena
2011,"Fri, Oct 29, 2010",Orlando Magic,70,Miami Heat,96,19600,AmericanAirlines Arena
2011,"Fri, Oct 29, 2010",Milwaukee Bucks,85,Minnesota Timberwolves,96,17197,Target Center
2011,"Fri, Oct 29, 2010",Memphis Grizzlies,91,Dallas Mavericks,90,20060,American Airlines Center
2011,"Fri, Oct 29, 2010",Los Angeles Clippers,91,Golden State Warriors,109,17408,Oracle Arena
2011,"Fri, Oct 29, 2010",Los Angeles Lakers,114,Phoenix Suns,106,18422,US Airways Center
2011,"Sat, Oct 30, 2010",Washington Wizards,95,Atlanta Hawks,99,18729,Philips Arena
2011,"Sat, Oct 30, 2010",Portland Trail Blazers,100,New York Knicks,95,19763,Madison Square Garden (IV)
2011,"Sat, Oct 30, 2010",Sacramento Kings,107,Cleveland Cavaliers,104,20562,Quicken Loans Arena
2011,"Sat, Oct 30, 2010",Philadelphia 76ers,86,Indiana Pacers,99,18165,Conseco Fieldhouse
2011,"Sat, Oct 30, 2010",Minnesota Timberwolves,89,Memphis Grizzlies,109,12753,FedEx Forum
2011,"Sat, Oct 30, 2010",Detroit Pistons,91,Chicago Bulls,101,21038,United Center
2011,"Sat, Oct 30, 2010",Denver Nuggets,107,Houston Rockets,94,18161,Toyota Center
2011,"Sat, Oct 30, 2010",Charlotte Bobcats,88,Milwaukee Bucks,98,16519,Bradley Center
2011,"Sat, Oct 30, 2010",New Orleans Hornets,99,San Antonio Spurs,90,18581,AT&T Center
2011,"Sun, Oct 31, 2010",Miami Heat,101,New Jersey Nets,78,17086,Prudential Center
2011,"Sun, Oct 31, 2010",Dallas Mavericks,99,Los Angeles Clippers,83,13718,STAPLES Center
2011,"Sun, Oct 31, 2010",Utah Jazz,120,Oklahoma City Thunder,99,18203,Chesapeake Energy Arena
2011,"Sun, Oct 31, 2010",Golden State Warriors,83,Los Angeles Lakers,107,18997,STAPLES Center
2011,"Mon, Nov 1, 2010",Portland Trail Blazers,98,Chicago Bulls,110,21057,United Center
2011,"Mon, Nov 1, 2010",Toronto Raptors,108,Sacramento Kings,111,17317,Power Balance Pavilion
2011,"Mon, Nov 1, 2010",San Antonio Spurs,97,Los Angeles Clippers,88,14964,STAPLES Center
2011,"Tue, Nov 2, 2010",Atlanta Hawks,100,Cleveland Cavaliers,88,20562,Quicken Loans Arena
2011,"Tue, Nov 2, 2010",Philadelphia 76ers,115,Washington Wizards,116,17803,Verizon Center
2011,"Tue, Nov 2, 2010",Boston Celtics,109,Detroit Pistons,86,15313,The Palace of Auburn Hills
2011,"Tue, Nov 2, 2010",Minnesota Timberwolves,97,Miami Heat,129,19600,AmericanAirlines Arena
2011,"Tue, Nov 2, 2010",Portland Trail Blazers,90,Milwaukee Bucks,76,13087,Bradley Center
2011,"Tue, Nov 2, 2010",Memphis Grizzlies,105,Los Angeles Lakers,124,18997,STAPLES Center
2011,"Wed, Nov 3, 2010",Detroit Pistons,85,Atlanta Hawks,94,13003,Philips Arena
2011,"Wed, Nov 3, 2010",Charlotte Bobcats,85,New Jersey Nets,83,11778,Prudential Center
2011,"Wed, Nov 3, 2010",Minnesota Timberwolves,86,Orlando Magic,128,18846,Amway Center
2011,"Wed, Nov 3, 2010",Indiana Pacers,75,Philadelphia 76ers,101,12277,Wells Fargo Center
2011,"Wed, Nov 3, 2010",Milwaukee Bucks,102,Boston Celtics,105,18624,TD Garden
2011,"Wed, Nov 3, 2010",New Orleans Hornets,107,Houston Rockets,99,13484,Toyota Center
2011,"Wed, Nov 3, 2010",Dallas Mavericks,102,Denver Nuggets,101,14159,Pepsi Center
2011,"Wed, Nov 3, 2010",Toronto Raptors,108,Utah Jazz,125,17802,EnergySolutions Arena
2011,"Wed, Nov 3, 2010",San Antonio Spurs,112,Phoenix Suns,110,17060,US Airways Center
2011,"Wed, Nov 3, 2010",Memphis Grizzlies,109,Golden State Warriors,115,16607,Oracle Arena
2011,"Wed, Nov 3, 2010",Oklahoma City Thunder,92,Los Angeles Clippers,107,18414,STAPLES Center
2011,"Wed, Nov 3, 2010",Los Angeles Lakers,112,Sacramento Kings,100,16113,Power Balance Pavilion
2011,"Thu, Nov 4, 2010",New York Knicks,120,Chicago Bulls,112,21203,United Center
2011,"Thu, Nov 4, 2010",Oklahoma City Thunder,107,Portland Trail Blazers,106,20611,Rose Garden Arena
2011,"Fri, Nov 5, 2010",Milwaukee Bucks,94,Indiana Pacers,90,14115,Conseco Fieldhouse
2011,"Fri, Nov 5, 2010",New Jersey Nets,90,Orlando Magic,105,18846,Amway Center
2011,"Fri, Nov 5, 2010",Cleveland Cavaliers,123,Philadelphia 76ers,116,10589,Wells Fargo Center
2011,"Fri, Nov 5, 2010",Charlotte Bobcats,90,Detroit Pistons,97,13291,The Palace of Auburn Hills
2011,"Fri, Nov 5, 2010",Washington Wizards,91,New York Knicks,112,19763,Madison Square Garden (IV)
2011,"Fri, Nov 5, 2010",Chicago Bulls,105,Boston Celtics,110,18624,TD Garden
2011,"Fri, Nov 5, 2010",Atlanta Hawks,113,Minnesota Timberwolves,103,17222,Target Center
2011,"Fri, Nov 5, 2010",Miami Heat,93,New Orleans Hornets,96,17988,New Orleans Arena
2011,"Fri, Nov 5, 2010",Memphis Grizzlies,118,Phoenix Suns,123,16470,US Airways Center
2011,"Fri, Nov 5, 2010",Los Angeles Clippers,104,Denver Nuggets,111,15559,Pepsi Center
2011,"Fri, Nov 5, 2010",Utah Jazz,78,Golden State Warriors,85,17902,Oracle Arena
2011,"Fri, Nov 5, 2010",Toronto Raptors,103,Los Angeles Lakers,108,18997,STAPLES Center
2011,"Sat, Nov 6, 2010",Orlando Magic,91,Charlotte Bobcats,88,18136,Time Warner Cable Arena
2011,"Sat, Nov 6, 2010",Cleveland Cavaliers,107,Washington Wizards,102,14442,Verizon Center
2011,"Sat, Nov 6, 2010",New Jersey Nets,89,Miami Heat,101,19600,AmericanAirlines Arena
2011,"Sat, Nov 6, 2010",New Orleans Hornets,87,Milwaukee Bucks,81,16731,Bradley Center
2011,"Sat, Nov 6, 2010",Houston Rockets,121,San Antonio Spurs,124,17740,AT&T Center
2011,"Sat, Nov 6, 2010",Denver Nuggets,103,Dallas Mavericks,92,19948,American Airlines Center
2011,"Sat, Nov 6, 2010",Los Angeles Clippers,107,Utah Jazz,109,19911,EnergySolutions Arena
2011,"Sat, Nov 6, 2010",Toronto Raptors,84,Portland Trail Blazers,97,20363,Rose Garden Arena
2011,"Sat, Nov 6, 2010",Memphis Grizzlies,100,Sacramento Kings,91,14085,Power Balance Pavilion
2011,"Sun, Nov 7, 2010",Philadelphia 76ers,106,New York Knicks,96,18735,Madison Square Garden (IV)
2011,"Sun, Nov 7, 2010",Phoenix Suns,118,Atlanta Hawks,114,13395,Philips Arena
2011,"Sun, Nov 7, 2010",Golden State Warriors,97,Detroit Pistons,102,12813,The Palace of Auburn Hills
2011,"Sun, Nov 7, 2010",Minnesota Timberwolves,94,Houston Rockets,120,15058,Toyota Center
2011,"Sun, Nov 7, 2010",Boston Celtics,92,Oklahoma City Thunder,83,18203,Chesapeake Energy Arena
2011,"Sun, Nov 7, 2010",Portland Trail Blazers,96,Los Angeles Lakers,121,18997,STAPLES Center
2011,"Mon, Nov 8, 2010",San Antonio Spurs,95,Charlotte Bobcats,91,14152,Time Warner Cable Arena
2011,"Mon, Nov 8, 2010",Atlanta Hawks,89,Orlando Magic,93,18846,Amway Center
2011,"Mon, Nov 8, 2010",Golden State Warriors,109,Toronto Raptors,102,14127,Air Canada Centre
2011,"Mon, Nov 8, 2010",Denver Nuggets,92,Chicago Bulls,94,21355,United Center
2011,"Mon, Nov 8, 2010",Phoenix Suns,99,Memphis Grizzlies,109,10786,FedEx Forum
2011,"Mon, Nov 8, 2010",Boston Celtics,87,Dallas Mavericks,89,20194,American Airlines Center
2011,"Tue, Nov 9, 2010",Denver Nuggets,113,Indiana Pacers,144,11122,Conseco Fieldhouse
2011,"Tue, Nov 9, 2010",Cleveland Cavaliers,93,New Jersey Nets,91,10188,Prudential Center
2011,"Tue, Nov 9, 2010",Utah Jazz,116,Miami Heat,114,19600,AmericanAirlines Arena
2011,"Tue, Nov 9, 2010",New York Knicks,80,Milwaukee Bucks,107,13286,Bradley Center
2011,"Tue, Nov 9, 2010",Los Angeles Clippers,82,New Orleans Hornets,101,12479,New Orleans Arena
2011,"Tue, Nov 9, 2010",Detroit Pistons,78,Portland Trail Blazers,100,20556,Rose Garden Arena
2011,"Tue, Nov 9, 2010",Minnesota Timberwolves,94,Los Angeles Lakers,99,18997,STAPLES Center
2011,"Wed, Nov 10, 2010",Milwaukee Bucks,108,Atlanta Hawks,91,11211,Philips Arena
2011,"Wed, Nov 10, 2010",Utah Jazz,104,Orlando Magic,94,18846,Amway Center
2011,"Wed, Nov 10, 2010",Charlotte Bobcats,101,Toronto Raptors,96,14309,Air Canada Centre
2011,"Wed, Nov 10, 2010",Houston Rockets,91,Washington Wizards,98,13665,Verizon Center
2011,"Wed, Nov 10, 2010",New Jersey Nets,95,Cleveland Cavaliers,87,20562,Quicken Loans Arena
2011,"Wed, Nov 10, 2010",Golden State Warriors,122,New York Knicks,117,19763,Madison Square Garden (IV)
2011,"Wed, Nov 10, 2010",Dallas Mavericks,106,Memphis Grizzlies,91,10767,FedEx Forum
2011,"Wed, Nov 10, 2010",Philadelphia 76ers,103,Oklahoma City Thunder,109,18203,Chesapeake Energy Arena
2011,"Wed, Nov 10, 2010",Los Angeles Clippers,95,San Antonio Spurs,107,17309,AT&T Center
2011,"Wed, Nov 10, 2010",Minnesota Timberwolves,98,Sacramento Kings,89,12433,Power Balance Pavilion
2011,"Thu, Nov 11, 2010",Golden State Warriors,90,Chicago Bulls,120,21140,United Center
2011,"Thu, Nov 11, 2010",Boston Celtics,112,Miami Heat,107,19650,AmericanAirlines Arena
2011,"Thu, Nov 11, 2010",Los Angeles Lakers,112,Denver Nuggets,118,19155,Pepsi Center
2011,"Fri, Nov 12, 2010",Utah Jazz,90,Atlanta Hawks,86,17069,Philips Arena
2011,"Fri, Nov 12, 2010",Houston Rockets,102,Indiana Pacers,99,14414,Conseco Fieldhouse
2011,"Fri, Nov 12, 2010",Toronto Raptors,110,Orlando Magic,106,18846,Amway Center
2011,"Fri, Nov 12, 2010",Charlotte Bobcats,93,Washington Wizards,85,14855,Verizon Center
2011,"Fri, Nov 12, 2010",New York Knicks,103,Minnesota Timberwolves,112,15232,Target Center
2011,"Fri, Nov 12, 2010",Philadelphia 76ers,90,Dallas Mavericks,99,19989,American Airlines Center
2011,"Fri, Nov 12, 2010",Sacramento Kings,89,Phoenix Suns,103,18029,US Airways Center
2011,"Fri, Nov 12, 2010",Portland Trail Blazers,108,Oklahoma City Thunder,110,18203,Chesapeake Energy Arena
2011,"Fri, Nov 12, 2010",Detroit Pistons,113,Los Angeles Clippers,107,16960,STAPLES Center
2011,"Sat, Nov 13, 2010",Utah Jazz,96,Charlotte Bobcats,95,15486,Time Warner Cable Arena
2011,"Sat, Nov 13, 2010",Orlando Magic,91,New Jersey Nets,90,15086,Prudential Center
2011,"Sat, Nov 13, 2010",Indiana Pacers,99,Cleveland Cavaliers,85,20562,Quicken Loans Arena
2011,"Sat, Nov 13, 2010",Toronto Raptors,100,Miami Heat,109,19600,AmericanAirlines Arena
2011,"Sat, Nov 13, 2010",Washington Wizards,96,Chicago Bulls,103,21610,United Center
2011,"Sat, Nov 13, 2010",Boston Celtics,116,Memphis Grizzlies,110,18119,FedEx Forum
2011,"Sat, Nov 13, 2010",Portland Trail Blazers,87,New Orleans Hornets,107,14706,New Orleans Arena
2011,"Sat, Nov 13, 2010",Golden State Warriors,72,Milwaukee Bucks,79,17049,Bradley Center
2011,"Sat, Nov 13, 2010",Philadelphia 76ers,93,San Antonio Spurs,116,17627,AT&T Center
2011,"Sun, Nov 14, 2010",Minnesota Timberwolves,105,Atlanta Hawks,111,12027,Philips Arena
2011,"Sun, Nov 14, 2010",Detroit Pistons,100,Sacramento Kings,94,12377,Power Balance Pavilion
2011,"Sun, Nov 14, 2010",San Antonio Spurs,117,Oklahoma City Thunder,104,18203,Chesapeake Energy Arena
2011,"Sun, Nov 14, 2010",Houston Rockets,104,New York Knicks,96,19763,Madison Square Garden (IV)
2011,"Sun, Nov 14, 2010",Phoenix Suns,121,Los Angeles Lakers,116,18997,STAPLES Center
2011,"Mon, Nov 15, 2010",Minnesota Timberwolves,110,Charlotte Bobcats,113,11211,Time Warner Cable Arena
2011,"Mon, Nov 15, 2010",Memphis Grizzlies,72,Orlando Magic,89,18846,Amway Center
2011,"Mon, Nov 15, 2010",New Orleans Hornets,95,Dallas Mavericks,98,19712,American Airlines Center
2011,"Mon, Nov 15, 2010",Denver Nuggets,94,Phoenix Suns,100,17744,US Airways Center
2011,"Mon, Nov 15, 2010",Oklahoma City Thunder,115,Utah Jazz,108,19911,EnergySolutions Arena
2011,"Mon, Nov 15, 2010",Detroit Pistons,97,Golden State Warriors,101,19123,Oracle Arena
2011,"Mon, Nov 15, 2010",New Jersey Nets,110,Los Angeles Clippers,96,14516,STAPLES Center
2011,"Tue, Nov 16, 2010",Philadelphia 76ers,93,Cleveland Cavaliers,101,20562,Quicken Loans Arena
2011,"Tue, Nov 16, 2010",Atlanta Hawks,102,Indiana Pacers,92,11133,Conseco Fieldhouse
2011,"Tue, Nov 16, 2010",Toronto Raptors,94,Washington Wizards,109,11513,Verizon Center
2011,"Tue, Nov 16, 2010",Portland Trail Blazers,100,Memphis Grizzlies,99,10827,FedEx Forum
2011,"Tue, Nov 16, 2010",Los Angeles Lakers,118,Milwaukee Bucks,107,18059,Bradley Center
2011,"Tue, Nov 16, 2010",Chicago Bulls,95,Houston Rockets,92,18158,Toyota Center
2011,"Tue, Nov 16, 2010",New York Knicks,118,Denver Nuggets,120,15190,Pepsi Center
2011,"Wed, Nov 17, 2010",Phoenix Suns,96,Miami Heat,123,19600,AmericanAirlines Arena
2011,"Wed, Nov 17, 2010",Toronto Raptors,94,Philadelphia 76ers,86,12164,Wells Fargo Center
2011,"Wed, Nov 17, 2010",Washington Wizards,83,Boston Celtics,114,18624,TD Garden
2011,"Wed, Nov 17, 2010",Los Angeles Lakers,103,Detroit Pistons,90,20284,The Palace of Auburn Hills
2011,"Wed, Nov 17, 2010",Los Angeles Clippers,111,Minnesota Timberwolves,113,12909,Target Center
2011,"Wed, Nov 17, 2010",Dallas Mavericks,97,New Orleans Hornets,99,13828,New Orleans Arena
2011,"Wed, Nov 17, 2010",Houston Rockets,99,Oklahoma City Thunder,116,17509,Chesapeake Energy Arena
2011,"Wed, Nov 17, 2010",New Jersey Nets,88,Utah Jazz,98,19314,EnergySolutions Arena
2011,"Wed, Nov 17, 2010",Chicago Bulls,94,San Antonio Spurs,103,18581,AT&T Center
2011,"Wed, Nov 17, 2010",New York Knicks,113,Sacramento Kings,106,12817,Power Balance Pavilion
2011,"Thu, Nov 18, 2010",Los Angeles Clippers,80,Indiana Pacers,107,12459,Conseco Fieldhouse
2011,"Thu, Nov 18, 2010",Phoenix Suns,89,Orlando Magic,105,18846,Amway Center
2011,"Thu, Nov 18, 2010",Denver Nuggets,83,Portland Trail Blazers,86,20532,Rose Garden Arena
2011,"Fri, Nov 19, 2010",Oklahoma City Thunder,89,Boston Celtics,84,18624,TD Garden
2011,"Fri, Nov 19, 2010",Milwaukee Bucks,79,Philadelphia 76ers,90,14557,Wells Fargo Center
2011,"Fri, Nov 19, 2010",Houston Rockets,96,Toronto Raptors,106,17369,Air Canada Centre
2011,"Fri, Nov 19, 2010",Memphis Grizzlies,86,Washington Wizards,89,13504,Verizon Center
2011,"Fri, Nov 19, 2010",Charlotte Bobcats,87,Miami Heat,95,19600,AmericanAirlines Arena
2011,"Fri, Nov 19, 2010",Los Angeles Lakers,112,Minnesota Timberwolves,95,19356,Target Center
2011,"Fri, Nov 19, 2010",Cleveland Cavaliers,101,New Orleans Hornets,108,14755,New Orleans Arena
2011,"Fri, Nov 19, 2010",San Antonio Spurs,94,Utah Jazz,82,19332,EnergySolutions Arena
2011,"Fri, Nov 19, 2010",Chicago Bulls,88,Dallas Mavericks,83,20133,American Airlines Center
2011,"Fri, Nov 19, 2010",New Jersey Nets,81,Sacramento Kings,86,11766,Power Balance Pavilion
2011,"Fri, Nov 19, 2010",New York Knicks,125,Golden State Warriors,119,19808,Oracle Arena
2011,"Sat, Nov 20, 2010",Phoenix Suns,105,Charlotte Bobcats,123,16428,Time Warner Cable Arena
2011,"Sat, Nov 20, 2010",Orlando Magic,90,Indiana Pacers,86,14583,Conseco Fieldhouse
2011,"Sat, Nov 20, 2010",Dallas Mavericks,98,Atlanta Hawks,93,14143,Philips Arena
2011,"Sat, Nov 20, 2010",Miami Heat,95,Memphis Grizzlies,97,18119,FedEx Forum
2011,"Sat, Nov 20, 2010",Oklahoma City Thunder,82,Milwaukee Bucks,81,16975,Bradley Center
2011,"Sat, Nov 20, 2010",Cleveland Cavaliers,92,San Antonio Spurs,116,16982,AT&T Center
2011,"Sat, Nov 20, 2010",New Jersey Nets,103,Denver Nuggets,107,16396,Pepsi Center
2011,"Sat, Nov 20, 2010",Utah Jazz,103,Portland Trail Blazers,94,20533,Rose Garden Arena
2011,"Sat, Nov 20, 2010",New York Knicks,124,Los Angeles Clippers,115,18325,STAPLES Center
2011,"Sun, Nov 21, 2010",Boston Celtics,101,Toronto Raptors,102,17707,Air Canada Centre
2011,"Sun, Nov 21, 2010",Washington Wizards,110,Detroit Pistons,115,13241,The Palace of Auburn Hills
2011,"Sun, Nov 21, 2010",New Orleans Hornets,75,Sacramento Kings,71,12003,Power Balance Pavilion
2011,"Sun, Nov 21, 2010",Golden State Warriors,89,Los Angeles Lakers,117,18997,STAPLES Center
2011,"Mon, Nov 22, 2010",Boston Celtics,99,Atlanta Hawks,76,14476,Philips Arena
2011,"Mon, Nov 22, 2010",Indiana Pacers,93,Miami Heat,77,19600,AmericanAirlines Arena
2011,"Mon, Nov 22, 2010",Minnesota Timberwolves,107,Oklahoma City Thunder,117,17653,Chesapeake Energy Arena
2011,"Mon, Nov 22, 2010",Phoenix Suns,123,Houston Rockets,116,15080,Toyota Center
2011,"Mon, Nov 22, 2010",Orlando Magic,97,San Antonio Spurs,106,17627,AT&T Center
2011,"Mon, Nov 22, 2010",Sacramento Kings,83,Utah Jazz,94,18698,EnergySolutions Arena
2011,"Mon, Nov 22, 2010",Denver Nuggets,106,Golden State Warriors,89,18023,Oracle Arena
2011,"Mon, Nov 22, 2010",New Orleans Hornets,95,Los Angeles Clippers,99,17787,STAPLES Center
